# Reviewed task | independently tracked facets | validation procedure and acceptance oracle.
# Source and facet identities are bound by docs/requirement-review.json.
P00-T13 | scenario contract inventory; schema inventory; runner and executor inventory; versioned parity table; evidence-qualified emulator capabilities; explicit emulator adapter backlog; mapped native equivalents; mapped native extensions; parity drift detection | Inspect the three named baseline sources and their transitive executor/sampling/trace behavior. Bind parity rows to source hashes, tests and original findings; compile presets and reject unsupported setup. Keep observed emulator paths, synthetic tooling checks and unimplemented native capabilities distinct.
P00-T14 | foundational agent-authoring contract coverage; selected TypeScript and optional TSX stack; separate type-check and transpile stages; geometry and asset adapter responsibility review; source build and native runtime boundaries; untrusted generator and installation policy; early source-to-playable and expanded acceptance gates; separately pinned and reviewed authoring dependencies; preserved historical evidence without inherited authoring passes | Review every new or changed task, authoring-contract and selected-stack row, project boundary, default, phase exit and release checkpoint against explicit facets. Audit dependency pins, licenses and build/runtime scope separately. Run parser, drift, migration and gate rejection tests; all native authoring facets remain defined until actual-runtime evidence exists.
P01-T01 | disc layout; boot metadata; executable loading; archives; sector references; compression; shared resources; disc-specific resources | Reproduce offsets and decoding from both original profiles; round-trip supported formats and explicitly classify unsupported entries; every claim links to independently collected evidence.
P01-T02 | main executable map; dynamically loaded code; dynamically loaded data; overlay-qualified addresses; reused memory identities | Trace loader transitions and show two overlays at a reused address retain distinct identities and symbols; compare map to original bytes and execution.
P01-T03 | MIPS disassembly; function boundaries; calling conventions; globals; structures; tables; dispatchers; subsystem relationships | Review original disassembly and call/data references; focused original traces and boundary cases must support each recovered symbol and relationship.
P01-T04 | readable decompiled source; independent review; inferred types; control flow; pointer arithmetic; signedness; fixed-point arithmetic; overflow behavior | Compare reviewed reconstruction against original traces at normal and arithmetic boundary inputs; document defined native arithmetic and unresolved cases instead of accepting automatic pseudocode.
P01-T05 | hardware-facing code; BIOS interfaces; GPU command generation; audio interfaces; controller reads; disc I/O; gameplay intent separated from PS1 mechanisms | Trace the original call sites and dependencies for each named hardware-facing facet used by the reviewed first playable slice; document input/output, state, ordering and timing intent plus the native service boundary. Validate the recovered intent against source-qualified original execution. Later native platform facets require actual native service execution; Phase 1 analysis does not claim it.
P01-T06 | projected-vertex precision; texture interpolation; color quantization; dithering; rasterization resolution; primitive ordering; transparency; original visual references | Recover each operation from original source and matched captures with exact profiles and coordinates. Document applicable render stage, scene, parameters and tolerances; no full-screen approximation or synthetic image establishes original fidelity.
P01-T07 | Mono signal; Stereo signal; Wide signal; panning and polarity; reverb; master output; streamed and FMV routing; matched raw two-channel captures; intended playback model; matrix versus phase-expansion discrimination | Capture identical original scenarios and levels in each sound mode on both discs; trace signal operations and routing, compare phase/polarity/timing and primary documentation where available. Keep ambiguities open and defer decoder selection until the spatial reference is supported.
P01-T08 | original execution tracing; captured inputs; seeds; state transitions; script instructions; timing observations | Re-run exact original profile with documented emulator/hardware setup and input log; corroborate state and timing observations, recording confidence and divergence.
P01-T09 | field formats; geometry formats; sprite formats; animation formats; collision formats; camera formats; texture formats; palette formats; UI formats; dialogue formats; battle formats; world-map formats; audio formats; FMV formats | Derive format fields from original bytes and use bounded local parsing fixtures plus independent behavioral evidence; preserve unknown fields and reject truncation/corruption.
P01-T10 | event bytecode; operands; scheduling; waits; branching; concurrent actors; side effects; original disassembler; instruction reference | Decode and trace each used instruction family, branch and concurrent schedule; compare effects to original and report unsupported opcodes with source/PC rather than no-op.
P01-T11 | movement rules; jump rules; encounter logic; RNG; battle formulas; enemy behavior; story-state changes; minigame rules; save formats | Capture original normal, boundary and failure cases with controlled inputs/seeds; validate reconstructed outcomes and arithmetic against those observations.
P01-T12 | simulation cadences; frame counters; asynchronous load dependencies; interrupts; hardware timing; gameplay timing rules; implementation timing artifacts | Vary observed original load/timing conditions and measure subsystem changes; classify evidence-supported gameplay cadence separately from presentation or hardware delay.
P01-T13 | state ownership; action eligibility; menu and dialogue structure; event and control readiness; spawn preconditions; transition preconditions; subsystem initialization; semantic field correlations independent of memory addresses | Trace ordinary entry and action acceptance/rejection in the selected original slice, including internal and offscreen state. Record semantic IDs, valid setup and stable readiness with original coordinates; require these proof obligations at the slice gate.
P01-T14 | original parser fixtures; per-finding behavioral tests; local original-data fixture generation; public synthetic fixtures; redistributable CI fixtures | Public CI runs without copyrighted data; local tests bind to source profile and independent expected results; fixture manifests disclose origin and cannot promote synthetic results to behavioral proof.
P01-T15 | unresolved symbols; unknown formats; unimplemented instructions; explicit unknown behavior errors | Inject an unresolved case in each inventory and require precise diagnostic and blocked affected coverage, with no silent no-op or progression bypass.
P02-T01 | simulation interface; original-script interface; rendering interface; input/UI interface; audio/media interface; asset-management interface; persistence interface; editor-services interface; agent and control service interface; one simulation for humans agents tests and editors | Build interface-level tests with replaceable adapters; verify authoritative state has no platform-object dependency and headless execution needs no renderer. Verify all clients share the actual authoritative engine, loaders and command handlers.
P02-T02 | independent extractors; independent decoders; bounded reads; corruption checks; source hashes; versioned caches; unsupported-revision errors | Import local verified source profiles and compare independent findings; mutate/truncate assets and stale cache versions; reject invalid input without out-of-bounds access or partial trusted cache entries.
P02-T03 | stable imported IDs; address-independent IDs; resource provenance; unknown source data preservation | Reimport after relocation and verify stable IDs and source-offset links; round-trip untouched unknown fields and detect source/version mismatch.
P02-T04 | SDL3 windowing; SDL3 platform integration; SDL3 input; initial Arch Vulkan renderer; optional window initialization; optional GPU initialization; optional audio-device initialization; pure headless path initializes none | Launch a native SDL3 window on Arch, render a reviewed backend scene and receive device events; record dependency provenance and host/driver. Run logical gameplay with those services unavailable and audit initialization/dependencies.
P02-T05 | rendering abstraction; shader pipeline; Linux Vulkan; Windows Direct3D 12; macOS Metal; SDL3 GPU evaluation; small original backend validation programs | Compile/run minimal independently authored backend probes on each declared target; compare shader behavior and document SDL3 GPU decision and limits.
P02-T06 | Modern render stages; selectable PS1 geometry operations; selectable rasterization operations; selectable compositing operations; visual precision excluded from authoritative state | Toggle each independently staged operation over one recorded trace; compare authoritative hashes and inspect stage-specific original fidelity fixtures.
P02-T07 | original sound generator boundary; raw two-channel Wide tap; Wide-specific reconstruction; HRTF stage; phase and timing preservation; original-mode bypass; null output media progression | Inspect signal taps and bypass routing with phase/polarity fixtures and verified original captures; disable output and require identical logical media/script events. Gate reconstruction on Phase 1 Wide findings.
P02-T08 | native resource management; typed state; explicit native services; no PS1 memory-layout dependence; no original BIOS execution; no PS1 CPU loop | Inspect executable dependencies and run isolated native subsystem tests with no BIOS/PS1 execution support installed; verify typed resource lifetime under sanitizers.
P02-T09 | independent simulation clock; independent render clock; recovered gameplay arithmetic; recovered subsystem updates; high-precision presentation transforms; independent wall clock | Replay a fixed input/seed scenario over varying render cadence; compare canonical simulation state while checking smooth high-precision presentation. Compare stepping and unlocked execution without wall-time-derived gameplay updates.
P02-T10 | entity state; party state; inventory state; story flags; RNG state; event state; battle state; minigame state; logical audio positions; media timelines | Mutate each authoritative domain, serialize/restore and compare canonical state; no domain can be silently omitted or reconstructed from nondeterministic presentation state.
P02-T11 | serializable stable IDs; serializable handles; rebuildable GPU objects; rebuildable decoder internals; rebuildable caches; rebuildable platform handles | Restore into a fresh process with all transient services recreated; validate every handle and canonical state and reject dangling references.
P02-T12 | deterministic original-script scheduling; deterministic Lua task scheduling; persistence contract; explicit task progress; no arbitrary Lua stack serialization assumption | Suspend concurrent tasks at documented boundaries, restore and replay; compare scheduling and effects and reject unsupported persistence patterns with actionable errors.
P02-T13 | asynchronous asset availability; background-job order; deterministic simulation outcomes; deterministic event ordering; explicit required-data gates | Inject randomized job delays and completion orders into repeated seeded replays; authoritative hashes and events must remain equal or wait at an explicit deterministic boundary. Record deterministic load gates and verify host completion order cannot change event order.
P02-T14 | shared native content interface; shared entity interface; shared collision interface; shared event interface; original and authored package inputs; separate origin-specific decoding; recovered movement rules for generated content; single gameplay model | Load equivalent original-derived and authored fixtures through their origin adapters; verify both reach the same entity, collision, movement and event services. Reject any path that bypasses recovered movement eligibility or supplies a second simulation; compare authoritative state and command behavior.
P02-T15 | versioned API; command-line client; local process I/O or IPC; request and response IDs; schema discovery; capability discovery; stable IDs; structured errors; no GUI account or agent-vendor dependency | Run the protocol acceptance gates with a plain pipe client from a clean device-free environment. Exercise negotiation, discovery, malformed messages, bounded responses and unsupported methods; preserve transcripts and exact build/schema identities.
P02-T16 | directional and analog input; run; jump; confirm and cancel; camera rotation; menu toggles; semantic item selection; scrolling; dialogue choices; battle commands and targets; minigame controls; direct pointer UI tests | Invoke each action through typed engine commands in an eligible state and a disabled state; compare physical-client handlers and resulting state. Pointer tests target native UI coordinates and need no OS events.
P02-T17 | same human and agent command handlers; same eligibility checks; same transitions; no OS event injection; no synthetic SDL events; no virtual devices; no screenshot OCR or desktop focus dependency | Replay identical canonical actions from human and agent clients; compare acceptance, applied ticks and state hashes. Inspect dependency and event paths and run without window/input services.
P02-T18 | press hold release semantics; simultaneous actions; analog ranges; exact tick scheduling; ordered batches; applied-tick acknowledgments; invalid-action reasons; no unintended partial mutation | Exercise boundary ticks, simultaneous axes/buttons, conflicts, delayed/stale batches and invalid final actions. Require deterministic order, release behavior and atomic validation with unchanged state on rejection.
P02-T19 | stable menu selection IDs; dialogue choice IDs; battle target IDs; enabled and disabled actions; disabled reasons; focus; scrolling state; control ownership; rule-preserving semantic selection | Query each decision surface and attempt every enabled/disabled selection, including stale IDs. Compare legal human selection; no semantic selection bypasses locks, resource costs or progression.
P02-T20 | active and inactive entities; components and transforms; collision and terrain; camera; maps and transitions; flags and variables; party stats equipment and inventory; encounters; battle and AI; minigames; original script stacks PCs and waits; Lua tasks; RNG state; pending events and timers; logical audio and media; internal and offscreen state | Inventory every serialized authoritative field and match it to a typed discoverable query path; mutate each domain in valid native scenarios and compare full snapshot, query and restored hashes. Omission of implemented state fails the subsystem gate.
P02-T21 | subsystem diagnostics; resource and loading status; render status; audio status; native symbol and source correlations; diagnostics outside authoritative state; schema coverage gate | Introduce a new state member and require the registration gate to fail until query/serialization coverage exists. Inspect source correlations and prove changing diagnostics does not alter authoritative hashes.
P02-T22 | consistent tick-tagged snapshots; filtered queries; state diffs; subscriptions; event streams; state hashes; snapshot-consistent pagination; explicit truncation | Query and paginate while advancing and restoring; pages must retain one immutable snapshot, deltas require matching bases, gaps/expiry are explicit, and bounded results never silently omit state.
P02-T23 | atomic observe-act-advance-observe; bounded run-until; identified-state preconditions; service responsive while paused; service responsive while running; cancellation; input ownership and handoff | Race stale observations and competing controllers against a bounded cycle. Verify one owner, atomic initial admission, responsive cancellation/queries, exact stop boundaries and no ambiguous applied command.
P02-T24 | normal actions distinct from debug; opt-in debug mutation; setup and snapshot provenance; debug-assisted outcome classification | Attempt mutation as a gameplay client, then with explicit debug authority; require denial or labeled audit events. Completion evidence must distinguish typed initial setup, later debug corrections and normal play.
P02-T25 | privileged control local by default; read-only spectators; explicit trusted debug; authenticated opt-in remote control; resource bounds; cancellation at unlocked speed | Exercise role matrix including untrusted Lua, spectators and competing local controllers. Remote access requires explicit enablement/authentication; floods and unthrottled execution cannot suppress bounded control/cancellation.
P02-T26 | real-time mode; fixed multiplier; paused mode; exact stepped mode; fully unthrottled mode; no artificial unlocked sleep or wall cap | Run identical seeded traces in each mode; compare every tick hash and stop reason, inspect pacing waits and record actual ticks/second. Unlocked execution must be independent of a fixed acceleration preset.
P02-T27 | exact tick count; typed condition stop; event stop; decision-point stop; breakpoint stop; simulation budget; stop reasons; simulation elapsed time; wall time and throughput; safe interruption | Exercise success, budget, breakpoint and cancellation at boundary ticks, including zero-work satisfied conditions. Check exact applied work and consistent resumable state; wall measurements are diagnostics.
P02-T28 | unchanged recovered tick semantics; every gameplay update; collision work retained; event work retained; no automatic cutscene skipping; logical media completion equivalence | Compare per-tick hashes and update counters at real-time and unlocked speed during movement, battle and concurrent media/events. Reject widened timesteps, dropped updates and manufactured completion shortcuts.
P02-T29 | pacing independent of VSync; GPU independent clock; audio-clock independence; video-playback independence; encoder independence; spectator independence; null and rebuildable presentation; measured throughput | Stall each output service and run the same bounded trace without it. Require equal authoritative outcomes and progressing simulation; record computation cost without promising a fixed hardware-independent multiplier.
P02-T30 | portable exact debug snapshots; restore; reset; seeded replay; branching test sessions; available before first slice | Restore into a fresh process and branch at field/event/battle boundaries; compare all state and subsequent replay ticks. Reject incompatible schema/content/mod identities and isolate persistence per branch.
P02-T31 | pause and resume; simulation step; original-script task and instruction step; Lua task and instruction step; conditional breakpoints; state watchpoints; event and transition breakpoints; variable inspection and editing; call and task stacks; traces; native debug symbols; native debugger integration; memory assertion crash and hang inspection | Demonstrate each stop/inspection mode with source correlations and continuation semantics. Capture a controlled assertion/hang, obtain native stack/memory through the documented debugger path, and replay the bounded failure history.
P02-T32 | typed guarded mutation; state validation; preconditions; rollback; before and after diffs; mutation provenance; unsafe raw diagnostics restricted | Submit valid and invalid multi-field edits with stale guards; invalid edits leave exact prior state. Capture auditable diffs and require separate unsafe authority for raw diagnostics, never as a gameplay requirement.
P02-T33 | structured logs; coverage; event histories; performance counters and profiles; assertion and crash artifacts; stacks and state dumps; replay inputs; bounded recent history | Trigger deterministic assertion, malformed input and injected hang cases; require terminal failure manifests with source/build/mod/schema identities, stop state and replay commands. Verify ring-buffer bounds and explicitly report missing artifacts after abrupt death.
P02-T34 | cold reset without saves; source and catalog validation; numeric and named entry; ordered input wait and capture; readiness predicates; bounded execution; guarded setup; success and failure artifacts; exact provenance | Execute every applicable row in docs/agent/emulator-parity.json against native services; compare intended behavior to evidence-qualified original scenarios. Native ticks and IDs require explicit semantic mapping, never copied RAM hooks.
P02-T35 | emulator contract used as baseline; independently implemented native services; verified Kernel scope; verified numeric-field scope; position backlog explicit; party and progression backlog explicit; battle and other entry backlog explicit | Review parity evidence scopes and run positive/negative adapter cases. No backlog row may be labeled verified without new original evidence, and native coverage needs separate execution results.
P02-T36 | field and map entry; world-map location; battle and formation; minigame; cutscene and event; menu entry; both discs; player and party position and facing; collision-safe spawn; party stats equipment inventory; story and progression; encounter setup; camera setup; RNG seed; mode and configuration | Cold-create valid and invalid scenarios for every implemented entry family via normal native initialization. Require schema/catalog discovery, complete dependent state and actionable readiness with no old save prerequisite.
P02-T37 | shared ordinary loaders; shared initialization; shared validators; dependent state reconstruction; invalid combination rejection; unknown entry errors; atomic setup; no hidden save prerequisite | Compare ordinary transitions with typed setup; inject bad resources, colliding spawns and contradictory progression. A failed preparation cannot replace or partially modify the live session.
P02-T38 | asset availability; map initialization; script completion; actionable dialogue and menu; battle readiness; actual player control; recovered logical ticks; no implicit emulator-frame conversion | Stop separately at each semantic readiness condition in original-correlated native scenarios; prove initialized but script-owned scenes do not satisfy player control. Validate cadence identity and reject unqualified frame-to-tick imports.
P02-T39 | discoverable location event formation catalog; declarative conditions; setup; actions; waits; assertions; snapshots; optional images; maintained parity table | Discover content and compile/run a scenario from schemas alone. Version and regenerate parity checks whenever either apparatus changes; unsupported IDs and missing capabilities fail explicitly.
P02-T40 | source asset build and mod identities; normalized setup; seeds; ordered commands; applied ticks; guarded mutations; expected and observed readiness; hashes; captures; terminal status; exploratory setup labels | Recreate a run from its manifest and compare state/event trace. Reject missing provenance and distinguish exploratory/unsafe setup from validated normal gameplay evidence.
P02-T41 | simulation-work budget; independent wall watchdog; no inherited emulator frame ceiling; readiness without real-time sleep | Bound a nonterminating condition by ticks/work and an injected deadlock by wall watchdog; require failure artifacts and an exact stop state when available. Test native budgets beyond 36000 without changing tick semantics.
P02-T42 | image-free default; on-demand screenshot; optional same-session offscreen stream; no GPU in logical mode; explicit image renderer requirements | Launch with display/input/audio/GPU access absent, play and query state, then enable images on renderer-capable hardware. A unavailable renderer returns a presentation error while simulation stays usable.
P02-T43 | spectator client documentation; attach without restart; detach without restart; read-only observation; explicit control transfer; no viewer prerequisite | Attach, disconnect and reconnect a viewer during agent play; verify session continuity and equal trace hashes. Spectator mutation fails until deliberate role/ownership transfer.
P02-T44 | image session ID; tick and logical time; render profile; dimensions; configurable resolution; configurable cadence; paused image without stepping | Inspect image envelopes at varied cadence/resolution and while paused; metadata must identify the rendered immutable state and no screenshot request advances authoritative time.
P02-T45 | bounded rendering queue; bounded encoding queue; bounded transport queue; sample and drop policy; no viewer backpressure; drop telemetry; honest accelerated timestamps; explicit offline exact-capture cost | Throttle or stop consumers and exhaust queues while running unlocked. Old images must drop and report counts while simulation progresses; exact offline capture is explicit and separate from live pacing.
P02-T46 | same action trace with images absent; offscreen equivalence; streamed equivalence; state-hash equivalence; no outcome or clock dependence on observation; full introspection without images | Run identical complete slice traces in all presentation modes, including slow/disconnected viewers. Compare all authoritative hashes and report performance separately from correctness.
P02-T47 | early Windows compile check; early macOS compile check; Arch execution priority; Arch integration priority; Windows headless protocol check; macOS headless protocol check | Compile on declared Windows/macOS targets and run Arch integration; record target/compiler versions and do not claim runtime validation from compilation. Run the same protocol conformance client natively on each platform; compile-only results do not prove headless operation.
P02A-T01 | typed TypeScript authoring SDK; distinct solid geometry and open surfaces; distinct render mesh and collision definitions; typed asset references; typed entities and runtime events; ordinary function SDK first; optional minimal TSX factory after function parity; serializable definitions without React lifecycle; no implicit per-frame generation | Type-check positive and invalid SDK examples. Build identical content using ordinary functions first, then optional TSX and compare normalized outputs. Require geometry/domain type errors, serializable definitions, and no rendering or UI lifecycle dependency.
P02A-T02 | versioned intermediate representation; namespaced content IDs; stable entity instances; reusable mesh references; transforms and materials; explicit collision; spawns portals and triggers; NPCs and encounters; event graphs; identity independent of paths names triangles and PS1 addresses; unflattened semantic world objects | Round-trip a multi-instance world IR, rename files/display labels and retessellate meshes without changing content identities. Validate references, version handling and separate collision/event records; ensure individual town objects remain queryable.
P02A-T03 | authoritative TS and TSX source; authoritative parameter files; authoritative Lua and source assets; generated manifests only build products; graphical exposed-parameter edits; reviewable source patches; preservation of arbitrary handwritten code | Edit declared parameters and apply a reviewed source patch through graphical and agent clients. Rebuild identical packages through one compiler, retain unrelated handwritten code, and reject edits that treat generated manifests as an independent source of truth.
P02A-T04 | separate tsc no-emit type checking; separate esbuild transpilation and bundling; isolated pinned Node execution; dependency and reference resolution; validation stage; export stage; structured stage errors; unsupported callbacks rejected; nonserializable state rejected; invalid references rejected; nonfinite geometry rejected | Inject one failure into each distinct compiler/build stage and require the precise structured stage/code/source diagnostic, nonzero failure and no successful package publication. Successful builds must execute source and manufacture native-loadable assets after type-checking and transpilation.
P02A-T05 | project-owned normalized mesh data; positions and indices; normals and UVs; material groups and bounds; source and object attribution; winding validation; degeneracy validation; topology requirements; resource budgets; attribute consistency; reliable geometry-kernel allocation release; measured optional meshoptimizer use | Normalize Manifold solids and surface/custom/import adapters into the same mesh schema. Exercise invalid attributes, winding, topology and budget cases; repeat failed and successful builds to verify allocation cleanup. Any mesh optimization requires recorded benefit and preserved collision/material/source semantics.
P02A-T06 | GLB render assets via glTF-Transform core; versioned world manifests; separate collision and event manifests; package dependencies; source maps; asset hashes; engine and schema compatibility; required local base-asset references; profiled custom packing decision; glTF excluded as gameplay or collision contract | Export a package using the supported glTF material/extension subset and inspect all manifest and provenance fields. Resolve its references with the native loader; reject missing or unsupported versions and demonstrate collision/events remain explicit even if the render GLB is replaced.
P02A-T07 | cgltf behind project C++ adapters; package parse and validation; required asset decoding; staged entities and components; collision structure construction; reference resolution; initialized event tasks; atomic field publication; explicit unsupported material and extension errors; missing and corrupt resource rejection; no partially loaded scene | Load a valid package through the actual C++ bridge, then inject each unsupported/corrupt/missing resource failure. Verify exact pre-load authoritative state survives every failure and only fully resolved scenes publish; parsing alone does not prove decoding, materials, GPU upload or gameplay integration.
P02A-T08 | same immutable package in logical and rendered modes; zero GPU allocation in logical mode; native GPU meshes and materials when enabled; origin-specific asset decoding; shared original and authored entities; shared movement and collision; shared interaction and event services | Play the same compiled package with GPU/display access absent and with the native renderer. Compare legal command traces and authoritative hashes; audit original-data and authored paths for the same movement/collision/event implementation.
P02A-T09 | immutable original asset store; separate mod layers; explicit dependencies; explicit overrides; locally resolved verified original IDs; locally verified original hashes; no extracted original assets in distributed sources or packages | Build generated-only and mixed-asset variants, prove the imported store is unchanged, and inspect the distributed source/package allowlist. Mixed packages reference locally supplied assets by verified ID/hash; wrong or missing originals fail explicitly without embedding private bytes.
P02A-T10 | reproducible source inputs; exact lockfiles; explicit seeds; generator and compiler versions; imported-asset hashes; relevant settings; output content hashes; immutable tested artifact; measured supported-platform determinism | Rebuild clean copies on every declared supported toolchain with identical recorded inputs and compare output hashes. Change each dependency/input and verify build identity invalidation. Pin runtime tests to the measured package; record unsupported cross-platform guarantees rather than relying on seeds alone.
P02A-T11 | complete dependency and parameter cache keys; reusable instancing; rebuild only affected components; build-time static generation; native door state and transform updates; no runtime boolean recomputation for ordinary interactions; separately specified runtime generator persistence | Change one component parameter and verify only dependent outputs rebuild while shared mesh instances survive. Trace rendered frames and door actions to prove static generators do not rerun. Reject runtime generation declarations lacking an explicit algorithm/state/persistence contract.
P02A-T12 | generated box primitives; generated cylinder primitives; solid union; solid difference; solid intersection; profile extrusion; revolution; arbitrary vertex and index meshes; imported-model path; actual vertices and triangles beyond prefabs | Build and inspect one nontrivial example of every initial operation, including a boolean doorway and a custom indexed mesh. Verify source creates mesh vertices/triangles and native-loadable content; prepared prefab placement alone cannot pass.
P02A-T13 | separate manifold-solid path; separate open-surface path; separate custom-mesh path; separate imported-model path; boolean operand validation; useful failure details; no forced solid conversion of arbitrary imports | Submit open, nonmanifold and invalid boolean operands alongside valid solids and external meshes. Require appropriate adapter selection, explicit topology errors with operand identity, and lossless supported non-solid paths without silent kernel coercion.
P02A-T14 | parameterized rooms; corridors; houses; stairs; bridges; doors; machinery; user-authored custom components; lower-level algorithm access; arbitrary mesh-array access | Build a parameterized component suite and a new custom object not present in the catalog. Vary dimensions and connectivity, inspect generated topology and collision, and demonstrate a user can supply algorithms and mesh arrays without engine C++ changes.
P02A-T15 | demonstrated path sweeps; demonstrated terrain and heightfields; use-case-driven specialized surfaces; discoverable unsupported lofting; discoverable unsupported deformation; discoverable unsupported rigging; no advertised unimplemented modeling operations | Exercise every advertised surface generator with source and native-loadable results. Query the capability catalog for unimplemented operations and require unsupported responses; add specialized algorithms only with a documented use case and acceptance example.
P02A-T16 | documented authoring units and coordinates; imported-asset conversions; geometry-backend conversions; renderer conversions; recovered collision arithmetic conversions; scale validation; handedness validation; normals validation; winding validation; precision boundary tests | Transform asymmetric measured fixtures across all coordinate systems and back. Compare scale, orientation, normals and winding, then traverse native collision at precision limits using recovered arithmetic; implicit or double conversions fail.
P02A-T17 | renderer-supported materials; texture density and projection; generated UVs; hard and smooth edges; vertex colors; semantic surface regions; material identity on boolean cuts; material preservation through parameter changes; explicit unsupported shader features | Render generated surfaces and cut faces with diagnostic materials in the native renderer, then change topology and parameters. Check UV density, edge normals, colors and region/material identity; unsupported material/extension features produce diagnostics before export or load.
P02A-T18 | static surface and triangle collision mode; composed primitive collision mode; separate simplified collision geometry; explicit no-collision mode; compilation to native movement representation; preserved openings and arches; no bounding-box or convex-hull doorway substitute | Traverse generated stairs, narrow/arched doors and obstructed passages through legal native movement for each supported collision mode. Verify clearance and blocked movement against actual colliders; compare deliberately wrong bounding-box/hull colliders to ensure acceptance rejects sealed openings.
P02A-T19 | named anchors; doorway connections; placement constraints; facing constraints; collision-aware clearance; room adjacency; repeatable prop distribution; persisted solved transforms and geometry; no runtime prompt interpretation; no traversal-test teleportation | Solve and build a connected layout twice with recorded inputs, inspect persistent transforms, then complete traversal through native commands. Invalid connections/clearance must fail with source-linked errors; tests must detect teleports or runtime prompt-dependent layout changes.
P02A-T20 | persistent component IDs; instance IDs; operation IDs; source spans in geometry and diagnostics; invalid-dimension attribution; boolean-operand attribution; blocked-interaction attribution; connectivity attribution; editable parameter mapping; semantic regions independent of triangle numbering | Introduce each geometric and gameplay failure, retessellate the mesh, and verify diagnostics still resolve to the same editable source component/operation/parameter. Triangle renumbering must not change semantic region identity.
P02A-T21 | separate build validity result; separate native traversal and collision result; separate presentation quality result; actual-runtime legal movement tests; optional native captures and overlays; no export or external-preview gameplay pass | Produce a valid GLB with a deliberately blocked doorway and require build success but native traversal failure. Evaluate presentation separately using native captures when enabled, preserving all three result categories and the failed gameplay assertion.
